"Columns","Columns"
"Compare Products","Compare Products"
"Compare products","Compare products"
"Confirm your order","Confirm your order"
"Error refreshing user token. User is not authorized to access the resource","Error refreshing user token. User is not authorized to access the resource"
"Error with response - bad content-type!","Error with response - bad content-type!"
"Error: Error while adding products","Error: Error while adding products"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Field is required","Field is required"
"Field is required.","Field is required."
"Grand total","Grand total"
"Home Page","Home Page"
"In stock!","In stock!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Internal Application error while refreshing the tokens. Please clear the storage and refresh page."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Internal validation error. Please check if all required fields are filled in. Please contact us on {email}"
"Must be greater than 0","Must be greater than 0"
"My Account","My Account"
"Newsletter preferences have successfully been updated","Newsletter preferences have successfully been updated"
"No available product variants","No available product variants"
"No products synchronized for this category. Please come back while online!","No products synchronized for this category. Please come back while online!"
"No such configuration for the product. Please do choose another combination of attributes.","No such configuration for the product. Please do choose another combination of attributes."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Or if you will stay on "Order confirmation" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Or if you will stay on "Order confirmation" page, the order will be placed automatically without confirmation, once the internet connection will be back."
"Out of stock!","Out of stock!"
"Out of the stock!","Out of the stock!"
"Payment Information","Payment Information"
"Please configure product bundle options and fix the validation errors","Please configure product bundle options and fix the validation errors"
"Please configure product custom options and fix the validation errors","Please configure product custom options and fix the validation errors"
"Please confirm order you placed when you was offline","Please confirm order you placed when you was offline"
"Please fix the validation errors","Please fix the validation errors"
"Please select the field which You like to sort by","Please select the field which You like to sort by"
"Please wait ...","Please wait ..."
"Proceed to checkout","Proceed to checkout"
"Processing order...","Processing order..."
"Product has been added to the cart!","Product has been added to the cart!"
"Product price is unknown, product cannot be added to the cart!","Product price is unknown, product cannot be added to the cart!"
"Product quantity has been updated!","Product quantity has been updated!"
"Product {productName} has been added to the compare!","Product {productName} has been added to the compare!"
"Product {productName} has been added to wishlist!","Product {productName} has been added to wishlist!"
"Product {productName} has been removed from compare!","Product {productName} has been removed from compare!"
"Product {productName} has been removed from wishlist!","Product {productName} has been removed from wishlist!"
"Quantity available offline","Quantity (offline mode)"
"Quantity available","Quantity ({qty} available)"
"Quantity must be above 0","Quantity must be above 0"
"Quantity must be below {quantity}","Quantity must be below {quantity}"
"Quantity must be positive integer","Quantity must be positive integer"
"Registering the account ...","Registering the account ..."
"Reset password feature does not work while offline!","Reset password feature does not work while offline!"
"Review","Review"
"Reviews","Reviews"
"Select 0","Select 0"
"Select 1","Select 1"
"Shopping cart is empty. Please add some products before entering Checkout","Shopping cart is empty. Please add some products before entering Checkout"
"Some of the ordered products are not available!","Some of the ordered products are not available!"
"Stock check in progress, please wait while available stock quantities are checked","Stock check in progress, please wait while available stock quantities are checked"
"Subtotal incl. tax","Subtotal incl. tax"
"Summary","Summary"
"The product is out of stock and cannot be added to the cart!","The product is out of stock and cannot be added to the cart!"
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","The product, category or CMS page is not available in Offline mode. Redirecting to Home."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not avaiable because we cannot check it right now."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!"
"Thumbnail","Thumbnail"
"Type what you are looking for...","Type what you are looking for..."
"Unexpected authorization error. Check your Network conection.","Unexpected authorization error. Check your Network conection."
"Unhandled error, wrong response format!","Unhandled error, wrong response format!"
"Vue Storefront", "Vue Storefront"
"You are going to pay for this order upon delivery.","You are going to pay for this order upon delivery."
"You are logged in!","You are logged in!"
"You are to pay for this order upon delivery.","You are to pay for this order upon delivery."
"You need to be logged in to see this page","You need to be logged in to see this page"
"You submitted your review for moderation.","You submitted your review for moderation."
"You're logged out","You're logged out"
"email","email"
"have as many","have as many"
"login","login"
"most you may purchase","most you may purchase"
"not authorized","not authorized"
"password","password"
"to account","to account"
"Account for {email} already exists.","Account for {email} already exists."
"Store","Store"
"Warranty","Warranty"
"Policy","Policy"
"Privacy","Privacy"
"Store","Store"
"ProCC Store","ProCC Store"
"bust","bust"
"waist","waist"
"hip","hip"
"length","length"
"New Product Arrivals","New Product Arrivals"
"Available soon","Available soon"
"Login / Registration","Login / Registration"
"Shipping Total Cost","Shipping Total Cost"
"EKONT","EKONT"
"Rapido","Rapido"
"Limited quantity available","Limited quantity available"
"Limited quantity available","Limited quantity available"
"Address","Address"
"Billing Address","Billing Address"
"Shipping Methods","Shipping Methods"
"Carrier","Carrier"
"Estimated Delivery Time","Estimated Delivery Time"
"Cost","Cost"
"Tracking","Tracking"
"Days","Days"
"Estimated Delivery","Estimated Delivery"
"Calculated","Calculated"
"Apply","Apply"
"Ok","Ok"
"invalidCredentials","invalidCredentials"
"Homepage","Homepage"
"Order Feedback","Order Feedback"
"Download Invoice","Download Invoice"
"Retry Payment","Retry Payment"
"Image","Image"
"Online Payment","Online Payment"
"Order Cancellation","Order Cancellation"
"All Stores","All Stores"
"List of the available ProCC Store Brands","List of the available ProCC Store Brands"
"noImage","noImage"
"Shipping & Handling","Shipping & Handling"
"Bulgaria","Bulgaria"
"Configure","Configure"
"Contacts","Contacts"
"Fashion and Stylish Everyday Attire","Fashion and Stylish Everyday Attire"
"8-10","8-10"
"Bulgaria, Varna","Bulgaria, Varna"
"French","French"
"Spanish","Spanish"
"Dutch","Dutch"
"Japanese","Japanese"
"Russian","Russian"
"Portuguese","Portuguese"
"Polish","Polish"
"Czech","Czech"
"French","French"
"Deutsch","Deutsch"
"Български","Български"
"Français","Français"
"Español","Español"
"Nederlandse","Nederlandse"
"日本語","日本語"
"Русский","Русский"
"Italiano","Italiano"
"Português","Português"
"Polski","Polski"
"Český","Český"
"Greece","Greece"
"Austria","Austria"
"Slovenia","Slovenia"
"Croatia","Croatia"
"Hungary","Hungary"
"Poland","Poland"
"Slovakia","Slovakia"
"Czechia","Czechia"
"Romania","Romania"
"Code must have at least 3 letters.","Code must have at least 3 letters."
"No Options","No Options"
"Loading...","Loading..."
"Please provide valid city name","Please provide valid city name"
"DPD Austria","DPD Austria"
"Place Order","Place Order"
"Something goes Wrong :(  payment fail, please retry","Something goes Wrong :(  payment fail, please retry"
"We will send you the invoice to ","We will send you the invoice to "
"as soon as you receive the products and rate them","as soon as you receive the products and rate them"
"Invoice to","Invoice to"
"Pay Online","Pay Online"
"This is not a valid EU VAT Number","This is not a valid EU VAT Number"
"as soon as you receive the products and submit a review","as soon as you receive the products and submit a review"
"Failed to verify your EU VAT Number","Failed to verify your EU VAT Number"
"Account for VAT according to your local law","Account for VAT according to your local law"
"Placing the order failed, please contact support!","Placing the order failed, please contact support!"
"addressUpdated","Address was updated"
"Afghanistan","Afghanistan"
"Albania","Albania"
"Algeria","Algeria"
"American Samoa","American Samoa"
"Andorra","Andorra"
"Angola","Angola"
"Anguilla","Anguilla"
"Antarctica","Antarctica"
"Antigua and Barbuda","Antigua and Barbuda"
"Argentina","Argentina"
"Armenia","Armenia"
"Aruba","Aruba"
"Azerbaijan","Azerbaijan"
"Australia","Australia"
"Bahamas","Bahamas"
"Bahrain","Bahrain"
"Bangladesh","Bangladesh"
"Barbados","Barbados"
"Belarus","Belarus"
"Belgium","Belgium"
"Belize","Belize"
"Benin","Benin"
"Bermuda","Bermuda"
"Bhutan","Bhutan"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Bolivia","Bolivia"
"Botswana","Botswana"
"Bouvet Island","Bouvet Island"
"Brazil","Brazil"
"British Indian Ocean Territory","British Indian Ocean Territory"
"British Virgin Islands","British Virgin Islands"
"Brunei","Brunei"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cambodia","Cambodia"
"Cameroon","Cameroon"
"Canada","Canada"
"Cape Verde","Cape Verde"
"Cayman Islands","Cayman Islands"
"Central African Republic","Central African Republic"
"Chad","Chad"
"China","China"
"Chile","Chile"
"Christmas Island","Christmas Island"
"Cocos [Keeling] Islands","Cocos [Keeling] Islands"
"Comoros","Comoros"
"Congo","Congo"
"Colombia","Colombia"
"Cook Islands","Cook Islands"
"Costa Rica","Costa Rica"
"Cuba","Cuba"
"Cyprus","Cyprus"
"Czech Republic","Czech Republic"
"Côte d’Ivoire","Côte d’Ivoire"
"Djibouti","Djibouti"
"Denmark","Denmark"
"Dominica","Dominica"
"Dominican Republic","Dominican Republic"
"Ecuador","Ecuador"
"Egypt","Egypt"
"El Salvador","El Salvador"
"Equatorial Guinea","Equatorial Guinea"
"Eritrea","Eritrea"
"Estonia","Estonia"
"Ethiopia","Ethiopia"
"Falkland Islands","Falkland Islands"
"Faroe Islands","Faroe Islands"
"Fiji","Fiji"
"Finland","Finland"
"France","France"
"French Guiana","French Guiana"
"French Polynesia","French Polynesia"
"Gabon","Gabon"
"French Southern Territories","French Southern Territories"
"Gambia","Gambia"
"Georgia","Georgia"
"Gibraltar","Gibraltar"
"Ghana","Ghana"
"Greenland","Greenland"
"Guadeloupe","Guadeloupe"
"Guatemala","Guatemala"
"Grenada","Grenada"
"Guam","Guam"
"Guernsey","Guernsey"
"Guinea","Guinea"
"Guinea","Guinea"
"Guyana","Guyana"
"Haiti","Haiti"
"Heard Island and McDonald Islands","Heard Island and McDonald Islands"
"Honduras","Honduras"
"Hong Kong SAR China","Hong Kong SAR China"
"Iceland","Iceland"
"India","India"
"Indonesia","Indonesia"
"Iran","Iran"
"Iraq","Iraq"
"Ireland","Ireland"
"Isle of Man","Isle of Man"
"Israel","Israel"
"Jamaica","Jamaica"
"Jersey","Jersey"
"Japan","Japan"
"Jordan","Jordan"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kuwait","Kuwait"
"Kiribati","Kiribati"
"Kyrgyzstan","Kyrgyzstan"
"Laos","Laos"
"Latvia","Latvia"
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Liechtenstein","Liechtenstein"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Macau SAR China","Macau SAR China"
"Macedonia","Macedonia"
"Madagascar","Madagascar"
"Malaysia","Malaysia"
"Malawi","Malawi"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malta"
"Marshall Islands","Marshall Islands"
"Martinique","Martinique"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mayotte","Mayotte"
"Micronesia","Micronesia"
"Mexico","Mexico"
"Mongolia","Mongolia"
"Moldova","Moldova"
"Monaco","Monaco"
"Montenegro","Montenegro"
"Montserrat","Montserrat"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Myanmar [Burma]","Myanmar [Burma]"
"Namibia","Namibia"
"Nauru","Nauru"
"Nepal","Nepal"
"Netherlands Antilles","Netherlands Antilles"
"Netherlands","Netherlands"
"New Caledonia","New Caledonia"
"New Zealand","New Zealand"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Niue","Niue"
"Norfolk Island","Norfolk Island"
"North Korea","North Korea"
"Northern Mariana Islands","Northern Mariana Islands"
"Norway","Norway"
"Oman","Oman"
"Pakistan","Pakistan"
"Palau","Palau"
"Palestinian Territories","Palestinian Territories"
"Panama","Panama"
"Papua New Guinea","Papua New Guinea"
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
"Pitcairn Islands","Pitcairn Islands"
"Portugal","Portugal"
"Puerto Rico","Puerto Rico"
"Qatar","Qatar"
"Russia","Russia"
"Rwanda","Rwanda"
"Réunion","Réunion"
"Saint Barthélemy","Saint Barthélemy"
"Saint Helena","Saint Helena"
"Saint Kitts and Nevis","Saint Kitts and Nevis"
"Saint Lucia","Saint Lucia"
"Saint Martin","Saint Martin"
"Saint Pierre and Miquelon","Saint Pierre and Miquelon"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"Samoa","Samoa"
"San Marino","San Marino"
"Saudi Arabia","Saudi Arabia"
"Senegal","Senegal"
"Serbia","Serbia"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Singapore","Singapore"
"Solomon Islands","Solomon Islands"
"Somalia","Somalia"
"South Africa","South Africa"
"South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands"
"South Korea","South Korea"
"Spain","Spain"
"Sri Lanka","Sri Lanka"
"Sudan","Sudan"
"Suriname","Suriname"
"Svalbard and Jan Mayen","Svalbard and Jan Mayen"
"Swaziland","Swaziland"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Syria","Syria"
"São Tomé and Príncipe","São Tomé and Príncipe"
"Taiwan","Taiwan"
"Tajikistan","Tajikistan"
"Tanzania","Tanzania"
"Thailand","Thailand"
"Timor","Timor"
"Togo","Togo"
"Tokelau","Tokelau"
"Tonga","Tonga"
"Trinidad and Tobago","Trinidad and Tobago"
"Tunisia","Tunisia"
"Turkey","Turkey"
"Turkmenistan","Turkmenistan"
"Turks and Caicos Islands","Turks and Caicos Islands"
"U.S. Minor Outlying Islands","U.S. Minor Outlying Islands"
"Tuvalu","Tuvalu"
"U.S. Virgin Islands","U.S. Virgin Islands"
"Uganda","Uganda"
"Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates"
"United Kingdom","United Kingdom"
"Uruguay","Uruguay"
"Uzbekistan","Uzbekistan"
"Vanuatu","Vanuatu"
"Vatican City","Vatican City"
"Venezuela","Venezuela"
"Vietnam","Vietnam"
"Wallis and Futuna","Wallis and Futuna"
"Western Sahara","Western Sahara"
"Yemen","Yemen"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
"Åland Islands","Åland Islands"
"Transaction is being processed","Transaction is being processed"
"Please Wait...","Please Wait..."
"What are the next steps?","What are the next steps?"
"Shipping Address","Shipping Address"
"FAQ","FAQ"
"Suggested Products","Suggested Products"
"Shipping Fee","Shipping Fee"
"VAT (Included)","VAT (Included)"
